"","Full.Name","College","Draft.Year","Position","Birth.Date","Height..Inches.","Weight","Breakout.Age","Breakout.Year","College.Dominator.Rating","College.YPR","Catch.Radius","Agility.Score","X20.Yard.Shuttle","Height.adjusted.Speed.Score","SPARQ.x","Broad.Jump","X3.Cone.Drill","X40.Yard.Dash","Burst.Score","Vertical.Jump","Hand.Size","Arm.Length","n_40","n_3c","n_20s","n_vj","n_he","n_al","n_bj","cr_score","bs_score","Had.Breakout","Draft.Date","Draft.Age","BMI","Late.Breakout.Date","Pick.Number","SOS.Rank","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","BestFinish","Success"
"613","sammie stroughter","Oregon State",2009,"WR",1986-01-03,69.38,189,21.76,2006,61.5,14.8,NA,11.31,4.28,79.11644606,NA,110,7.03,4.54,82.4174070434589,30,NA,NA,0.623529411764706,0.467153284671533,0.596638655462185,0.189189189189189,0.292,NA,0.194444444444444,NA,0.383633633633634,"Y",2009-04-01,23.2575342465753,27.6025076032738,2009-10-08,260,8,92,111,153,189,300,300,300,300,300,300,300,300,300,300,92,0
"614","sammy watkins","Clemson",2014,"WR",1993-06-14,73,211,18.2,2011,34.2,14.5,98.9286870264584,11.29,4.34,109.6,109.3,126,6.95,4.43,103.806934650955,34,9.63,32,0.752941176470588,0.525547445255474,0.546218487394958,0.405405405405405,0.533333333333333,0.506849315068493,0.638888888888889,1.84716938377327,1.04429429429429,"Y",2014-04-01,20.8109589041096,27.8350534809533,2014-10-08,4,54,27,20,90,40,300,300,300,300,300,300,300,300,300,300,20,1
"615","santana moss","Miami (FL)",2001,"WR",1979-06-01,70,200,19.3,1998,24.8,16.6,NA,NA,NA,111.2,NA,NA,NA,4.31,NA,42,NA,NA,0.894117647058824,NA,NA,0.837837837837838,0.333333333333333,NA,NA,NA,NA,"Y",2001-04-01,21.8493150684932,28.6938775510204,2001-10-08,16,12,300,300,300,300,300,29,37,18,28,11,53,48,70,136,11,1
"616","santonio holmes","Ohio State",2006,"WR",1984-03-03,71,192,21.5,2005,48.6,18.4,NA,11.08,4.26,99.6,111.6,126,6.82,4.4,110.807143686135,38,9.625,NA,0.788235294117646,0.620437956204379,0.613445378151261,0.621621621621622,0.4,NA,0.638888888888889,NA,1.26051051051051,"Y",2006-04-01,22.0931506849315,26.7756397540171,2006-10-08,25,2,40,25,33,14,39,33,107,94,151,300,300,300,300,300,14,1
"617","seantavius jones","Valdosta State",2014,"WR",1992-08-09,75,208,20.1,2012,42.6,14.1,112.404371341977,11.28,4.32,97.1,105.2,125,6.96,4.58,110.782837404763,38.5,9.625,34.875,0.576470588235294,0.518248175182482,0.563025210084033,0.648648648648649,0.666666666666667,0.821917808219178,0.611111111111111,2.45863529467647,1.25975975975976,"Y",2014-04-01,21.6575342465753,25.9953777777778,2014-10-08,260,260,300,199,300,300,300,300,300,300,300,300,300,300,300,300,199,0
"618","seth roberts","West Alabama",2014,"WR",1991-02-22,74,196,22.5,2013,35.6,21.4,NA,11.18,4.41,100.4,93.9,117,6.77,4.46,95.7129429540273,34,NA,NA,0.717647058823529,0.656934306569343,0.487394957983193,0.405405405405405,0.6,NA,0.388888888888889,NA,0.794294294294294,"Y",2014-04-01,23.1205479452055,25.1621621621622,2014-10-08,260,260,300,62,72,71,300,300,300,300,300,300,300,300,300,300,62,0
"619","seyi ajirotutu","Fresno State",2010,"WR",1987-06-12,75,211,21.2,2008,29.7,13.8,95.8537876700692,11.61,4.39,96.8,99.8,115,7.22,4.6,97.4143826500781,36,9.38,32.63,0.552941176470589,0.328467153284672,0.504201680672269,0.513513513513513,0.666666666666667,0.575890410958904,0.333333333333333,1.70764428865621,0.846846846846847,"Y",2010-04-01,22.8191780821918,26.3703111111111,2010-10-08,260,84,108,181,171,150,165,194,300,300,300,300,300,300,300,300,108,0
"620","shane wynn","Indiana",2015,"WR",1992-11-15,66,157,21.8,2014,42.3,12.6,97.2455758314311,11.14,4.25,80,106.3,120,6.89,4.34,101.911044703927,36,8.875,29.5,0.858823529411765,0.569343065693431,0.621848739495798,0.513513513513513,0.0666666666666667,0.232876712328767,0.472222222222222,1.77079737208748,0.985735735735736,"Y",2015-04-01,22.3890410958904,25.3376951331497,2015-10-08,260,46,300,182,300,300,300,300,300,300,300,300,300,300,300,300,182,0
"621","shaq evans","UCLA",2014,"WR",1991-03-07,73,213,21.5,2012,29.6,15.1,NA,11.28,4.21,103,106.3,122,7.07,4.51,101.084631137273,34.5,9.625,NA,0.658823529411765,0.437956204379562,0.65546218487395,0.432432432432432,0.533333333333333,NA,0.527777777777778,NA,0.96021021021021,"Y",2014-04-01,23.0849315068493,28.098892850441,2014-10-08,115,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0
"622","shaq hill","Eastern Washington",2017,"WR",1993-05-12,69,193,23.3,2016,26,15,NA,NA,NA,86.6,NA,124,NA,4.53,104.633348217608,35.5,NA,NA,0.635294117647058,NA,NA,0.486486486486487,0.266666666666667,NA,0.583333333333333,NA,1.06981981981982,"Y",2017-04-01,23.9041095890411,28.498004620878,2017-10-08,260,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"623","shaq washington","Cincinnati",2016,"WR",1993-06-12,68,178,22.2,2015,20.8,10.9,NA,NA,NA,69.1,NA,112,NA,4.68,91.2162809001788,34,9.125,NA,0.458823529411765,NA,NA,0.405405405405405,0.2,NA,0.25,NA,0.655405405405405,"Y",2016-04-01,22.8191780821918,27.0618512110727,2016-10-08,260,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0
